gu,dong,매물수,평균주당가격,평균가동률,평균월매출,평균월순수익,평균수익률_임차료대비
영등포구,당산동4가,3,380000.0,0.5,808988.3,-390408.3,-47.5
광진구,광장동,10,486400.0,0.4,1043651.2,-393845.4,-51.8
동작구,신대방동,8,366000.0,0.5,773034.4,-394865.8,-48.3
송파구,석촌동,39,452638.5,0.5,957331.1,-404223.0,-43.8
성동구,성수동1가,30,449733.3,0.5,944341.5,-410494.4,-45.3
영등포구,당산동1가,1,360000.0,0.5,740430.0,-413404.0,-53.0
마포구,현석동,1,620000.0,0.5,1320823.0,-415064.0,-30.9
송파구,송파동,20,364900.0,0.5,749137.2,-415592.8,-50.7
종로구,계동,3,549000.0,0.5,1158253.3,-418554.0,-31.9
강남구,역삼동,301,508370.4,0.5,1063279.4,-422430.9,-37.0
서초구,방배동,25,483600.0,0.5,995364.8,-434476.2,-40.1
강남구,일원동,19,388421.1,0.5,779067.3,-437573.6,-55.8
강남구,신사동,21,422333.3,0.5,853547.8,-438971.1,-47.3
종로구,누상동,3,516666.7,0.4,1063563.3,-440117.3,-46.7
종로구,필운동,4,496250.0,0.5,1006573.5,-451024.8,-38.6
강남구,세곡동,2,440000.0,0.4,874573.0,-456887.5,-61.9
용산구,원효로1가,7,474285.7,0.5,945152.4,-462866.3,-35.7
마포구,상수동,21,424714.3,0.5,829612.0,-467271.8,-46.4
서초구,우면동,2,360000.0,0.4,677298.5,-474452.5,-60.8
송파구,방이동,106,453467.0,0.4,858157.5,-501917.6,-51.7
서초구,서초동,267,631781.3,0.5,1253274.1,-505890.5,-35.2
용산구,원효로3가,2,340000.0,0.4,599380.0,-506499.5,-67.2
영등포구,영등포동5가,3,336666.7,0.4,582500.3,-515605.7,-69.9
강남구,삼성동,74,581547.3,0.5,1128313.9,-517970.4,-38.9
마포구,중동,2,415000.0,0.5,732744.0,-539911.5,-46.4
광진구,구의동,22,439090.9,0.4,777028.3,-549245.5,-65.0
서초구,잠원동,44,479679.9,0.4,841118.6,-575145.4,-53.7
중구,주로1가,21,656297.6,0.4,1230033.5,-581442.0,-48.5
종로구,누하동,24,374791.7,0.3,591359.8,-589579.1,-81.0
송파구,풍납동,6,446333.3,0.4,751278.2,-589825.7,-62.1
중구,황학동,26,498448.6,0.5,865570.7,-592134.3,-47.9
용산구,남영동,5,408000.0,0.4,661805.8,-593353.8,-67.6
영등포구,대림동,13,338307.7,0.3,488876.0,-609693.1,-83.6
영등포구,양평동5가,12,332916.7,0.3,449825.7,-635783.2,-86.2
서대문구,영천동,3,493333.3,0.4,806780.0,-637910.3,-50.0
마포구,구수동,2,770000.0,0.4,1409675.0,-653894.5,-38.7
중구,장충동2가,1,355000.0,0.3,478054.0,-656297.0,-85.4
강남구,논현동,100,727255.0,0.5,1310765.2,-656997.1,-34.8
강남구,자곡동,12,390666.7,0.3,518417.0,-694483.8,-83.5
서대문구,홍제동,2,375000.0,0.4,479331.0,-698362.0,-73.6
종로구,원남동,8,380250.0,0.2,481618.4,-707516.4,-101.0
종로구,창성동,3,426666.7,0.3,541380.0,-750219.0,-77.2
서초구,신원동,11,436363.6,0.3,560376.7,-752842.8,-79.8
서초구,내곡동,1,340000.0,0.2,338606.0,-758668.0,-103.1
송파구,잠실동,67,652955.2,0.4,1029927.6,-767708.1,-46.9
동작구,상도동,2,455000.0,0.4,545580.0,-807499.0,-69.4
송파구,오금동,12,368333.3,0.2,328975.4,-829322.6,-101.8
송파구,삼전동,9,377777.8,0.2,338735.9,-840331.3,-100.4
